0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:21:44 +0530] "GET /tbis/api/asnmaster/asnbins?code=100 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:21:44 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asnentrycusparts&customerid=51 HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:21:44 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asnpalletdetail&asnid=100 HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:21:53 +0530] "GET /tbis/api/report/metadata?id=55 HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:21:53 +0530] "GET /tbis/api/report/data?id=55&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=asnno&sord=asc&sord=desc&_search=false&status=5,8,9 HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:22:29 +0530] "GET /tbis/api/report/metadata?id=55 HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:22:29 +0530] "GET /tbis/api/report/data?id=55&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=asnno&sord=asc&sord=desc&_search=false&status=7,8 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:22:31 +0530] "GET /tbis/api/report/metadata?id=55 HTTP/1.1" 200 5060
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:22:31 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:22:31 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=vehicletypes HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [06/Jul/2024:10:22:31 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=lgtransporter HTTP/1.1" 200 1444
